backend,variant,deg,npts,rep,type,op,maxrelerr,meanrelerr,tpercall
neon,BF,2,400000,20000,qd,EVALDIFF,7.9446e-65,9.6067e-66,4.4108e-08
neon,BF,2,400000,20000,qd,POLYMUL,2.9333e-65,1.8612e-65,1.1400e-07
neon,FMA,2,400000,20000,dd,HORNER,7.2504e-33,1.5697e-33,2.7547e-09
neon,FMA,2,400000,20000,dd,HORNER-V,7.2504e-33,1.5697e-33,2.9436e-09
neon,FMA,2,400000,20000,dd,ESTRIN,2.3917e-32,3.6851e-33,3.0850e-08
neon,FMA,2,400000,20000,dd,ESTRIN-V,2.3917e-32,3.6851e-33,3.8138e-08
neon,FMA,2,400000,20000,dd,EVALDIFF,5.9551e-31,1.8760e-32,2.4130e-09
neon,FMA,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.2694e-08
neon,FMA,2,400000,20000,td,HORNER,1.2098e-48,1.3379e-49,1.1400e-08
neon,FMA,2,400000,20000,td,HORNER-V,1.2098e-48,1.3379e-49,1.0464e-08
neon,FMA,2,400000,20000,td,ESTRIN,1.1486e-48,2.2386e-49,4.8071e-08
neon,FMA,2,400000,20000,td,ESTRIN-V,1.1486e-48,2.2386e-49,6.3577e-08
neon,FMA,2,400000,20000,td,EVALDIFF,1.8072e-48,2.1423e-49,2.1299e-08
neon,FMA,2,400000,20000,td,POLYMUL,4.8271e-49,3.3176e-49,3.4486e-08
neon,FMA,2,400000,20000,qd,HORNER,1.0099e-64,9.0005e-66,2.1587e-08
neon,FMA,2,400000,20000,qd,HORNER-V,1.0099e-64,9.0005e-66,1.5444e-08
neon,FMA,2,400000,20000,qd,ESTRIN,9.3628e-65,1.2225e-65,7.6572e-08
neon,FMA,2,400000,20000,qd,ESTRIN-V,9.3628e-65,1.2225e-65,9.4173e-08
neon,FMA,2,400000,20000,qd,EVALDIFF,6.6246e-65,9.3952e-66,2.5927e-08
neon,FMA,2,400000,20000,qd,POLYMUL,5.5157e-65,2.1118e-65,6.2605e-08
sve2,Q,2,400000,20000,dd,HORNER,9.1871e-33,1.5993e-33,3.9650e-09
sve2,Q,2,400000,20000,dd,HORNER-V,9.1871e-33,1.5993e-33,3.4689e-09
sve2,Q,2,400000,20000,dd,ESTRIN,2.3917e-32,3.0142e-33,3.2812e-08
sve2,Q,2,400000,20000,dd,ESTRIN-V,2.3917e-32,2.9909e-33,4.4032e-08
sve2,Q,2,400000,20000,dd,EVALDIFF,1.4170e-30,1.9967e-32,3.0316e-09
sve2,Q,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.3998e-08
sve2,Q,2,400000,20000,td,HORNER,8.6323e-49,9.8003e-50,3.4409e-08
sve2,Q,2,400000,20000,td,HORNER-V,8.6323e-49,9.8003e-50,3.4226e-08
sve2,Q,2,400000,20000,td,ESTRIN,9.7325e-49,1.4794e-49,8.9889e-08
sve2,Q,2,400000,20000,td,ESTRIN-V,5.5122e-49,9.3985e-50,1.1310e-07
sve2,Q,2,400000,20000,td,EVALDIFF,3.8799e-49,8.2653e-50,3.8222e-08
sve2,Q,2,400000,20000,td,POLYMUL,8.4962e-49,4.8716e-49,1.2148e-07
sve2,Q,2,400000,20000,qd,HORNER,1.5830e-65,2.4925e-66,1.1659e-07
sve2,Q,2,400000,20000,qd,HORNER-V,1.5830e-65,2.4925e-66,4.9534e-08
sve2,Q,2,400000,20000,qd,ESTRIN,1.9284e-65,3.7420e-66,1.9843e-07
sve2,Q,2,400000,20000,qd,ESTRIN-V,1.2798e-64,1.2073e-65,1.6504e-07
sve2,Q,2,400000,20000,qd,EVALDIFF,1.4896e-65,2.3993e-66,7.7046e-08
sve2,Q,2,400000,20000,qd,POLYMUL,1.0457e-65,5.6526e-66,2.1429e-07
sve2,BF,2,400000,20000,dd,HORNER,9.1871e-33,1.5949e-33,5.7945e-09
sve2,BF,2,400000,20000,dd,HORNER-V,9.1871e-33,1.5949e-33,3.9216e-09
sve2,BF,2,400000,20000,dd,ESTRIN,2.3917e-32,2.8847e-33,3.8698e-08
sve2,BF,2,400000,20000,dd,ESTRIN-V,2.3917e-32,2.8847e-33,4.6063e-08
sve2,BF,2,400000,20000,dd,EVALDIFF,1.4170e-30,1.9111e-32,3.6546e-09
sve2,BF,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.7743e-08
sve2,BF,2,400000,20000,td,HORNER,8.5153e-49,1.0979e-49,2.2504e-08
sve2,BF,2,400000,20000,td,HORNER-V,8.5153e-49,1.0979e-49,1.7081e-08
sve2,BF,2,400000,20000,td,ESTRIN,1.0866e-48,1.6981e-49,6.5053e-08
sve2,BF,2,400000,20000,td,ESTRIN-V,1.0866e-48,1.6981e-49,7.9700e-08
sve2,BF,2,400000,20000,td,EVALDIFF,5.8321e-49,1.4716e-49,2.3653e-08
sve2,BF,2,400000,20000,td,POLYMUL,4.8271e-49,3.3176e-49,5.7085e-08
sve2,BF,2,400000,20000,qd,HORNER,5.9734e-65,7.5729e-66,4.4318e-08
sve2,BF,2,400000,20000,qd,HORNER-V,5.9734e-65,7.5729e-66,3.2995e-08
sve2,BF,2,400000,20000,qd,ESTRIN,5.9734e-65,1.0713e-65,9.5972e-08
sve2,BF,2,400000,20000,qd,ESTRIN-V,5.9734e-65,1.0713e-65,1.1136e-07
sve2,BF,2,400000,20000,qd,EVALDIFF,7.9446e-65,9.6067e-66,4.7405e-08
sve2,BF,2,400000,20000,qd,POLYMUL,2.9333e-65,1.8612e-65,1.1234e-07
sve2,FMA,2,400000,20000,dd,HORNER,7.2504e-33,1.5697e-33,2.7378e-09
sve2,FMA,2,400000,20000,dd,HORNER-V,7.2504e-33,1.5697e-33,2.7765e-09
sve2,FMA,2,400000,20000,dd,ESTRIN,2.3917e-32,3.6851e-33,2.9430e-08
sve2,FMA,2,400000,20000,dd,ESTRIN-V,2.3917e-32,3.6851e-33,3.7814e-08
sve2,FMA,2,400000,20000,dd,EVALDIFF,5.9551e-31,1.8760e-32,2.3223e-09
sve2,FMA,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.2791e-08
sve2,FMA,2,400000,20000,td,HORNER,1.2098e-48,1.3379e-49,1.1296e-08
sve2,FMA,2,400000,20000,td,HORNER-V,1.2098e-48,1.3379e-49,1.3365e-08
sve2,FMA,2,400000,20000,td,ESTRIN,1.1486e-48,2.2386e-49,4.7248e-08
sve2,FMA,2,400000,20000,td,ESTRIN-V,1.1486e-48,2.2386e-49,6.4131e-08
sve2,FMA,2,400000,20000,td,EVALDIFF,1.8072e-48,2.1423e-49,2.0993e-08
sve2,FMA,2,400000,20000,td,POLYMUL,4.8271e-49,3.3176e-49,3.3614e-08
sve2,FMA,2,400000,20000,qd,HORNER,1.0099e-64,9.0005e-66,2.1826e-08
sve2,FMA,2,400000,20000,qd,HORNER-V,1.0099e-64,9.0005e-66,2.0654e-08
sve2,FMA,2,400000,20000,qd,ESTRIN,9.3628e-65,1.2225e-65,7.6992e-08
sve2,FMA,2,400000,20000,qd,ESTRIN-V,9.3628e-65,1.2225e-65,9.2357e-08
sve2,FMA,2,400000,20000,qd,EVALDIFF,6.6246e-65,9.3952e-66,2.5728e-08
sve2,FMA,2,400000,20000,qd,POLYMUL,5.5157e-65,2.1118e-65,6.2356e-08
serial,Q,3,400000,20000,dd,HORNER,1.1098e-32,1.9775e-33,6.8857e-09
serial,Q,3,400000,20000,dd,HORNER-V,1.1098e-32,1.9775e-33,7.6307e-09
serial,Q,3,400000,20000,dd,ESTRIN,2.0181e-32,3.6599e-33,3.4555e-08
serial,Q,3,400000,20000,dd,ESTRIN-V,2.0181e-32,3.6599e-33,3.4681e-08
serial,Q,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.3182e-32,5.7092e-09
serial,Q,3,400000,20000,dd,POLYMUL,2.2520e-32,1.1758e-32,1.7455e-08
serial,Q,3,400000,20000,td,HORNER,6.4286e-49,1.0758e-49,6.0339e-08
serial,Q,3,400000,20000,td,HORNER-V,6.4286e-49,1.0758e-49,1.0219e-07
serial,Q,3,400000,20000,td,ESTRIN,1.0216e-48,1.5296e-49,8.2489e-08
serial,Q,3,400000,20000,td,ESTRIN-V,1.0216e-48,1.5296e-49,8.2555e-08
serial,Q,3,400000,20000,td,EVALDIFF,5.1374e-49,7.8870e-50,5.2206e-08
serial,Q,3,400000,20000,td,POLYMUL,1.7898e-48,8.2449e-49,1.5678e-07
serial,Q,3,400000,20000,qd,HORNER,2.0710e-65,2.1563e-66,1.7348e-07
serial,Q,3,400000,20000,qd,HORNER-V,2.0710e-65,2.1563e-66,1.6506e-07
serial,Q,3,400000,20000,qd,ESTRIN,2.1587e-65,3.2404e-66,2.0742e-07
serial,Q,3,400000,20000,qd,ESTRIN-V,2.1587e-65,3.2404e-66,2.0724e-07
serial,Q,3,400000,20000,qd,EVALDIFF,1.1051e-65,2.0684e-66,1.4113e-07
serial,Q,3,400000,20000,qd,POLYMUL,1.0434e-65,4.5980e-66,2.7431e-07
serial,BF,3,400000,20000,dd,HORNER,1.1098e-32,1.9626e-33,1.0142e-08
serial,BF,3,400000,20000,dd,HORNER-V,1.1098e-32,1.9626e-33,1.0038e-08
serial,BF,3,400000,20000,dd,ESTRIN,1.9347e-32,3.5367e-33,3.7675e-08
serial,BF,3,400000,20000,dd,ESTRIN-V,1.9347e-32,3.5367e-33,3.7695e-08
serial,BF,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.1912e-32,7.7110e-09
serial,BF,3,400000,20000,dd,POLYMUL,2.2520e-32,1.1758e-32,2.2788e-08
serial,BF,3,400000,20000,td,HORNER,6.9686e-49,1.2213e-49,3.9140e-08
serial,BF,3,400000,20000,td,HORNER-V,6.9686e-49,1.2213e-49,4.0310e-08
serial,BF,3,400000,20000,td,ESTRIN,7.6189e-49,1.7448e-49,6.2938e-08
serial,BF,3,400000,20000,td,ESTRIN-V,7.6189e-49,1.7448e-49,6.2841e-08
serial,BF,3,400000,20000,td,EVALDIFF,6.7640e-49,1.5959e-49,4.2037e-08
serial,BF,3,400000,20000,td,POLYMUL,1.7898e-48,6.2135e-49,7.5552e-08
serial,BF,3,400000,20000,qd,HORNER,4.9240e-65,7.5788e-66,7.1676e-08
serial,BF,3,400000,20000,qd,HORNER-V,4.9240e-65,7.5788e-66,7.2844e-08
serial,BF,3,400000,20000,qd,ESTRIN,7.3427e-65,1.0558e-65,9.1529e-08
serial,BF,3,400000,20000,qd,ESTRIN-V,7.3427e-65,1.0558e-65,9.1622e-08
serial,BF,3,400000,20000,qd,EVALDIFF,1.8082e-64,1.3799e-65,6.9024e-08
serial,BF,3,400000,20000,qd,POLYMUL,3.7576e-65,1.3150e-65,1.4741e-07
serial,FMA,3,400000,20000,dd,HORNER,1.1098e-32,2.1128e-33,4.6822e-09
serial,FMA,3,400000,20000,dd,HORNER-V,1.1098e-32,2.1128e-33,6.3633e-09
serial,FMA,3,400000,20000,dd,ESTRIN,2.4676e-32,4.3623e-33,3.0573e-08
serial,FMA,3,400000,20000,dd,ESTRIN-V,2.4676e-32,4.3623e-33,3.0662e-08
serial,FMA,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.4684e-32,4.3953e-09
serial,FMA,3,400000,20000,dd,POLYMUL,1.8228e-31,4.3711e-32,1.5634e-08
