platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ts,binary32,3,72,16384,0,1.2496e-05,6.24e-06,2.0026,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ts,binary32,3,72,65536,0,4.8241e-05,7.665e-06,6.2937,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ts,binary32,3,72,262144,0,0.000193891,1.1584e-05,16.7378,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),ts,binary32,3,72,1048576,0,0.00081715,8.8898e-05,9.1920,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qs,binary32,4,96,4096,0,8.145e-06,6.464e-06,1.2601,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qs,binary32,4,96,16384,0,3.16e-05,6.272e-06,5.0383,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qs,binary32,4,96,65536,0,0.000134162,8.048e-06,16.6702,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qs,binary32,4,96,262144,0,0.000511256,1.3216e-05,38.6846,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qs,binary32,4,96,1048576,0,0.002212767,0.00015533,14.2456,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,dd,binary64,2,106,128,0,0.000609192,0.000108946,5.5917,omp,2.603560e-32,pre-FMA,bncmatmul-0.24,2026-07-30
