prec,backend,fma,family,dim,maxrelerr
qd,serial,fma,hilbert,30,5.426730e-22
qd,serial,fma,hilbert,32,5.920686e-19
qd,serial,fma,hilbert,34,2.119724e-16
qd,serial,fma,hilbert,36,8.050943e-13
qd,serial,fma,hilbert,38,5.561546e-10
qd,serial,fma,hilbert,40,1.941516e-06
qd,neon,nofma,hilbert,2,1.139468e-64
qd,neon,nofma,hilbert,4,8.424497e-62
qd,neon,nofma,hilbert,6,2.490095e-58
qd,neon,nofma,hilbert,8,2.566790e-55
qd,neon,nofma,hilbert,10,2.276581e-52
qd,neon,nofma,hilbert,12,2.563855e-49
qd,neon,nofma,hilbert,14,1.896653e-46
qd,neon,nofma,hilbert,16,1.648957e-43
qd,neon,nofma,hilbert,18,3.404520e-41
qd,neon,nofma,hilbert,20,1.193051e-37
qd,neon,nofma,hilbert,22,4.485959e-36
qd,neon,nofma,hilbert,24,3.307053e-31
qd,neon,nofma,hilbert,26,8.473976e-29
qd,neon,nofma,hilbert,28,1.380101e-25
qd,neon,nofma,hilbert,30,2.758097e-22
qd,neon,nofma,hilbert,32,3.581259e-20
qd,neon,nofma,hilbert,34,4.670248e-16
qd,neon,nofma,hilbert,36,3.991455e-13
qd,neon,nofma,hilbert,38,3.223884e-10
qd,neon,nofma,hilbert,40,6.045372e-07
qd,neon,fma,hilbert,2,1.139468e-64
qd,neon,fma,hilbert,4,9.507437e-62
qd,neon,fma,hilbert,6,4.021938e-58
qd,neon,fma,hilbert,8,7.993727e-56
qd,neon,fma,hilbert,10,9.404435e-53
qd,neon,fma,hilbert,12,2.366487e-49
qd,neon,fma,hilbert,14,2.079627e-46
qd,neon,fma,hilbert,16,2.823337e-43
qd,neon,fma,hilbert,18,2.949425e-40
qd,neon,fma,hilbert,20,8.344410e-38
qd,neon,fma,hilbert,22,5.804404e-34
qd,neon,fma,hilbert,24,9.779498e-32
qd,neon,fma,hilbert,26,1.230240e-28
qd,neon,fma,hilbert,28,3.321506e-25
qd,neon,fma,hilbert,30,5.923548e-22
qd,neon,fma,hilbert,32,5.257583e-19
qd,neon,fma,hilbert,34,9.082846e-16
qd,neon,fma,hilbert,36,3.965609e-13
qd,neon,fma,hilbert,38,5.013630e-10
qd,neon,fma,hilbert,40,1.248225e-06
qd,sve2,nofma,hilbert,2,1.139468e-64
qd,sve2,nofma,hilbert,4,8.424497e-62
qd,sve2,nofma,hilbert,6,2.490095e-58
qd,sve2,nofma,hilbert,8,2.566790e-55
qd,sve2,nofma,hilbert,10,2.276581e-52
qd,sve2,nofma,hilbert,12,2.563855e-49
qd,sve2,nofma,hilbert,14,1.896653e-46
qd,sve2,nofma,hilbert,16,1.648957e-43
qd,sve2,nofma,hilbert,18,3.404520e-41
qd,sve2,nofma,hilbert,20,1.193051e-37
qd,sve2,nofma,hilbert,22,4.485959e-36
qd,sve2,nofma,hilbert,24,3.307053e-31
qd,sve2,nofma,hilbert,26,8.473976e-29
qd,sve2,nofma,hilbert,28,1.380101e-25
qd,sve2,nofma,hilbert,30,2.758097e-22
qd,sve2,nofma,hilbert,32,3.581259e-20
qd,sve2,nofma,hilbert,34,4.670248e-16
qd,sve2,nofma,hilbert,36,3.991455e-13
qd,sve2,nofma,hilbert,38,3.223884e-10
qd,sve2,nofma,hilbert,40,6.045372e-07
qd,sve2,fma,hilbert,2,1.139468e-64
qd,sve2,fma,hilbert,4,9.507437e-62
qd,sve2,fma,hilbert,6,4.021938e-58
qd,sve2,fma,hilbert,8,7.993727e-56
qd,sve2,fma,hilbert,10,9.404435e-53
qd,sve2,fma,hilbert,12,2.366487e-49
qd,sve2,fma,hilbert,14,2.079627e-46
qd,sve2,fma,hilbert,16,2.823337e-43
qd,sve2,fma,hilbert,18,2.949425e-40
qd,sve2,fma,hilbert,20,8.344410e-38
qd,sve2,fma,hilbert,22,5.804404e-34
qd,sve2,fma,hilbert,24,9.779498e-32
qd,sve2,fma,hilbert,26,1.230240e-28
qd,sve2,fma,hilbert,28,3.321506e-25
qd,sve2,fma,hilbert,30,5.923548e-22
qd,sve2,fma,hilbert,32,5.257583e-19
qd,sve2,fma,hilbert,34,9.082846e-16
qd,sve2,fma,hilbert,36,3.965609e-13
qd,sve2,fma,hilbert,38,5.013630e-10
qd,sve2,fma,hilbert,40,1.248225e-06
ds,serial,nofma,hilbert,2,1.065814e-14
ds,serial,nofma,hilbert,4,9.212631e-12
ds,serial,nofma,hilbert,6,1.058825e-08
ds,serial,nofma,hilbert,8,3.865681e-06
ds,serial,nofma,hilbert,10,6.980569e-04
ds,serial,nofma,hilbert,12,3.270544e+01
ds,serial,nofma,hilbert,14,7.005169e+00
ds,serial,nofma,hilbert,16,4.516716e+00
ds,serial,nofma,hilbert,18,2.919892e+01
ds,serial,nofma,hilbert,20,1.192818e+01
ds,serial,nofma,hilbert,22,1.606746e+01
ds,serial,nofma,hilbert,24,3.403378e+01
ds,serial,nofma,hilbert,26,2.653144e+01
ds,serial,nofma,hilbert,28,3.597425e+01
ds,serial,nofma,hilbert,30,5.298401e+01
ds,serial,nofma,hilbert,32,3.539846e+02
ds,serial,nofma,hilbert,34,9.586493e+01
ds,serial,nofma,hilbert,36,1.065661e+02
ds,serial,nofma,hilbert,38,4.855717e+01
ds,serial,nofma,hilbert,40,6.168159e+02
ds,serial,fma,hilbert,2,1.065814e-14
ds,serial,fma,hilbert,4,1.237010e-11
ds,serial,fma,hilbert,6,4.632685e-09
ds,serial,fma,hilbert,8,2.747057e-06
ds,serial,fma,hilbert,10,1.655029e-02
ds,serial,fma,hilbert,12,1.858430e+02
ds,serial,fma,hilbert,14,1.839475e+01
ds,serial,fma,hilbert,16,3.659111e+01
ds,serial,fma,hilbert,18,2.114938e+01
ds,serial,fma,hilbert,20,2.256673e+01
ds,serial,fma,hilbert,22,5.944115e+01
ds,serial,fma,hilbert,24,2.702724e+02
ds,serial,fma,hilbert,26,3.709495e+04
ds,serial,fma,hilbert,28,8.058987e+02
ds,serial,fma,hilbert,30,1.944427e+02
ds,serial,fma,hilbert,32,1.961162e+02
ds,serial,fma,hilbert,34,4.082381e+02
ds,serial,fma,hilbert,36,2.581029e+02
ds,serial,fma,hilbert,38,3.671181e+02
ds,serial,fma,hilbert,40,1.218276e+03
ds,neon,nofma,hilbert,2,1.065814e-14
ds,neon,nofma,hilbert,4,9.212631e-12
ds,neon,nofma,hilbert,6,1.058825e-08
ds,neon,nofma,hilbert,8,3.865681e-06
ds,neon,nofma,hilbert,10,6.980569e-04
ds,neon,nofma,hilbert,12,3.270544e+01
ds,neon,nofma,hilbert,14,7.005169e+00
ds,neon,nofma,hilbert,16,4.516716e+00
ds,neon,nofma,hilbert,18,2.919892e+01
ds,neon,nofma,hilbert,20,1.192818e+01
ds,neon,nofma,hilbert,22,1.606746e+01
ds,neon,nofma,hilbert,24,3.403378e+01
ds,neon,nofma,hilbert,26,2.653144e+01
ds,neon,nofma,hilbert,28,3.597425e+01
ds,neon,nofma,hilbert,30,5.298401e+01
ds,neon,nofma,hilbert,32,3.539846e+02
ds,neon,nofma,hilbert,34,9.586493e+01
ds,neon,nofma,hilbert,36,1.065661e+02
ds,neon,nofma,hilbert,38,4.855717e+01
ds,neon,nofma,hilbert,40,6.168159e+02
ds,neon,fma,hilbert,2,1.065814e-14
ds,neon,fma,hilbert,4,1.237010e-11
ds,neon,fma,hilbert,6,4.545644e-09
ds,neon,fma,hilbert,8,2.747057e-06
ds,neon,fma,hilbert,10,1.059495e-02
ds,neon,fma,hilbert,12,1.954609e+02
ds,neon,fma,hilbert,14,1.011178e+01
ds,neon,fma,hilbert,16,1.511969e+01
ds,neon,fma,hilbert,18,3.798457e+01
ds,neon,fma,hilbert,20,6.331392e+01
ds,neon,fma,hilbert,22,5.066032e+01
