kind,prec,backend,algo,dim,value
time,ds,neon,strassen,256,1.198604125e-02
time,ds,neon,winograd,256,1.153798643e-02
time,ds,neon,triple,512,1.247737866e-01
time,ds,neon,block,512,1.033502035e-01
time,ds,neon,strassen,512,8.670029743e-02
time,ds,neon,winograd,512,8.713366254e-02
time,ds,neon,triple,1024,1.043237209e+00
time,ds,neon,block,1024,8.436626708e-01
time,ds,neon,strassen,1024,6.783832186e-01
time,ds,neon,winograd,1024,5.967051983e-01
time,ts,neon,triple,256,1.363086000e-01
time,ts,neon,block,256,1.601391635e-01
time,ts,neon,strassen,256,1.514726279e-01
time,ts,neon,winograd,256,1.530800706e-01
time,ts,neon,triple,512,1.085651723e+00
time,ts,neon,block,512,1.279331854e+00
time,ts,neon,strassen,512,1.036988260e+00
time,ts,neon,winograd,512,1.046143366e+00
time,ts,neon,triple,1024,8.859146869e+00
time,ts,neon,block,1024,1.011584102e+01
time,ts,neon,strassen,1024,7.017698163e+00
time,ts,neon,winograd,1024,6.856228848e+00
time,qs,neon,triple,256,2.224291479e-01
time,qs,neon,block,256,2.389054350e-01
time,qs,neon,strassen,256,2.257197141e-01
time,qs,neon,winograd,256,2.186825499e-01
time,qs,neon,triple,512,1.734385425e+00
time,qs,neon,block,512,1.892346840e+00
time,qs,neon,strassen,512,1.542926067e+00
time,qs,neon,winograd,512,1.499818147e+00
time,qs,neon,triple,1024,1.428050735e+01
time,qs,neon,block,1024,1.512390391e+01
time,qs,neon,strassen,1024,1.065089071e+01
time,qs,neon,winograd,1024,1.045952731e+01
