kind,prec,backend,algo,dim,value
time,ts,serial,triple,1024,3.148144700e+01
time,ts,serial,block,1024,2.577939192e+01
time,ts,serial,strassen,1024,1.597588444e+01
time,ts,serial,winograd,1024,1.586171683e+01
time,ts,avx2,triple,256,2.402339205e-01
time,ts,avx2,block,256,3.053484708e-01
time,ts,avx2,strassen,256,2.724771649e-01
time,ts,avx2,winograd,256,2.734181061e-01
time,ts,avx2,triple,512,2.817207206e+00
time,ts,avx2,block,512,2.451209761e+00
time,ts,avx2,strassen,512,1.905588601e+00
time,ts,avx2,winograd,512,1.925746698e+00
time,ts,avx2,triple,1024,2.231596556e+01
time,ts,avx2,block,1024,1.959944465e+01
time,ts,avx2,strassen,1024,1.325998304e+01
time,ts,avx2,winograd,1024,1.303533226e+01
time,ts,avx512,triple,256,9.769195598e-02
time,ts,avx512,block,256,2.814668752e-01
time,ts,avx512,strassen,256,1.562014632e-01
time,ts,avx512,winograd,256,1.533510033e-01
time,ts,avx512,triple,512,1.484917276e+00
time,ts,avx512,block,512,1.613448098e+00
time,ts,avx512,strassen,512,1.092631347e+00
time,ts,avx512,winograd,512,1.081238829e+00
time,ts,avx512,triple,1024,1.065025245e+01
time,ts,avx512,block,1024,1.291484556e+01
time,ts,avx512,strassen,1024,7.584729344e+00
time,ts,avx512,winograd,1024,7.355744813e+00
time,qs,serial,triple,256,1.229479924e+00
time,qs,serial,block,256,1.311826959e+00
time,qs,serial,strassen,256,9.876091667e-01
time,qs,serial,winograd,256,9.858532287e-01
time,qs,serial,triple,512,1.227998282e+01
time,qs,serial,block,512,1.050886499e+01
time,qs,serial,strassen,512,7.025825609e+00
time,qs,serial,winograd,512,6.974743947e+00
time,qs,serial,triple,1024,9.352836287e+01
time,qs,serial,block,1024,8.387275775e+01
time,qs,serial,strassen,1024,4.928702870e+01
time,qs,serial,winograd,1024,4.910796084e+01
time,qs,avx2,triple,256,4.999044538e-01
time,qs,avx2,block,256,6.255370155e-01
time,qs,avx2,strassen,256,4.327471256e-01
time,qs,avx2,winograd,256,4.327404909e-01
time,qs,avx2,triple,512,3.804989640e+00
time,qs,avx2,block,512,3.985934865e+00
time,qs,avx2,strassen,512,3.066715531e+00
time,qs,avx2,winograd,512,3.070562240e+00
time,qs,avx2,triple,1024,3.136778462e+01
time,qs,avx2,block,1024,3.190315645e+01
time,qs,avx2,strassen,1024,2.153144702e+01
time,qs,avx2,winograd,1024,2.150560969e+01
time,qs,avx512,triple,256,1.332209017e-01
time,qs,avx512,block,256,4.206205904e-01
time,qs,avx512,strassen,256,3.434705064e-01
time,qs,avx512,winograd,256,3.400677778e-01
time,qs,avx512,triple,512,2.364667553e+00
time,qs,avx512,block,512,3.365362156e+00
time,qs,avx512,strassen,512,2.450027689e+00
time,qs,avx512,winograd,512,2.396403197e+00
time,qs,avx512,triple,1024,1.650769333e+01
time,qs,avx512,block,1024,2.693252133e+01
time,qs,avx512,strassen,1024,1.713593084e+01
time,qs,avx512,winograd,1024,1.707686377e+01
acc,double,serial,triple,256,1.691391e-15
acc,double,serial,block,256,3.962074e-16
acc,double,serial,strassen,256,8.556539e-15
acc,double,serial,winograd,256,2.348859e-15
acc,dd,serial,triple,256,1.510638e-31
acc,dd,serial,block,256,3.586080e-32
acc,dd,serial,strassen,256,6.912855e-31
acc,dd,serial,winograd,256,1.878856e-31
acc,td,serial,triple,256,7.522996e-48
acc,td,serial,block,256,1.570434e-48
acc,td,serial,strassen,256,3.234986e-47
acc,td,serial,winograd,256,8.258903e-48
acc,qd,serial,triple,256,3.800538e-64
acc,qd,serial,block,256,1.216923e-64
acc,qd,serial,strassen,256,1.713277e-63
acc,qd,serial,winograd,256,5.736643e-64
acc,float,serial,triple,256,7.181545e-07
acc,float,serial,block,256,7.181545e-07
acc,float,serial,strassen,256,4.502598e-06
acc,float,serial,winograd,256,2.466134e-07
acc,ds,serial,triple,256,4.016929e-14
acc,ds,serial,block,256,9.526540e-15
acc,ds,serial,strassen,256,1.586191e-13
acc,ds,serial,winograd,256,6.134252e-14
acc,ts,serial,triple,256,5.733773e-22
acc,ts,serial,block,256,1.189659e-22
acc,ts,serial,strassen,256,2.187807e-21
acc,ts,serial,winograd,256,6.742263e-22
acc,qs,serial,triple,256,1.135450e-29
acc,qs,serial,block,256,3.035002e-30
acc,qs,serial,strassen,256,5.147252e-29
acc,qs,serial,winograd,256,1.617963e-29
