backend,type,op,N,seconds,iters,mflops
avx512,cdd,spmv,512,1.823837e-04,2048,39.1702
avx512,ctd,axpy,512,5.181580e-06,65536,197.6231
avx512,ctd,matvec,512,4.301343e-03,64,121.8894
avx512,ctd,matmul,512,3.348248e+00,1,80.1719
avx512,ctd,spmv,512,4.882421e-04,512,14.6321
avx512,cqd,axpy,512,1.017554e-05,32768,100.6335
avx512,cqd,matvec,512,6.708436e-03,32,78.1535
avx512,cqd,matmul,512,5.657222e+00,1,47.4500
avx512,cqd,spmv,512,6.541661e-04,512,10.9208
avx512,cd,axpy,1024,6.781138e-07,524288,3020.1421
avx512,cd,matvec,1024,1.089340e-03,256,1925.1582
avx512,cd,matmul,1024,3.122667e+00,1,687.7082
avx512,cd,spmv,1024,4.301467e-04,512,33.2724
avx512,cdd,axpy,1024,4.838697e-06,65536,423.2544
avx512,cdd,matvec,1024,9.821936e-03,32,213.5172
avx512,cdd,matmul,1024,1.666027e+01,1,128.8985
avx512,cdd,spmv,1024,3.665176e-04,1024,39.0486
avx512,ctd,axpy,1024,1.730419e-05,16384,118.3528
avx512,ctd,matvec,1024,1.954381e-02,16,107.3052
avx512,ctd,matmul,1024,3.519192e+01,1,61.0221
avx512,ctd,spmv,1024,9.750156e-04,256,14.6787
avx512,cqd,axpy,1024,1.933728e-05,16384,105.9094
avx512,cqd,matvec,1024,3.002402e-02,8,69.8491
avx512,cqd,matmul,1024,6.722535e+01,1,31.9446
avx512,cqd,spmv,1024,1.311309e-03,256,10.9143
