backend,type,op,N,seconds,iters,mflops
avx512,cdd,matmul,512,2.016348e+00,1,133.1295
avx512,ctd,axpy,512,5.265047e-06,65536,194.4902
avx512,ctd,matvec,512,4.336968e-03,64,120.8881
avx512,ctd,matmul,512,3.480761e+00,1,77.1198
avx512,cqd,axpy,512,1.006967e-05,32768,101.6915
avx512,cqd,matvec,512,6.668374e-03,32,78.6231
avx512,cqd,matmul,512,5.669182e+00,1,47.3499
avx512,cd,axpy,1024,9.551504e-07,262144,2144.1649
avx512,cd,matvec,1024,1.543758e-03,256,1358.4724
avx512,cd,matmul,1024,3.432246e+00,1,625.6788
avx512,cd,spmv,1024,4.888126e-04,512,29.2791
avx512,cdd,axpy,1024,6.728362e-06,32768,304.3832
avx512,cdd,matvec,1024,9.682626e-03,32,216.5892
avx512,cdd,matmul,1024,1.665199e+01,1,128.9626
avx512,ctd,axpy,1024,2.484093e-05,8192,82.4446
avx512,ctd,matvec,1024,2.962112e-02,8,70.7992
avx512,ctd,matmul,1024,3.689948e+01,1,58.1982
avx512,cqd,axpy,1024,2.700317e-05,8192,75.8429
avx512,cqd,matvec,1024,3.015900e-02,8,69.5365
avx512,cqd,matmul,1024,6.228733e+01,1,34.4771
avx512,cd,axpy,2048,1.984192e-06,131072,2064.3165
avx512,cd,matvec,2048,7.934034e-03,32,1057.2942
avx512,cd,matmul,2048,4.647881e+01,1,369.6280
avx512,cd,spmv,2048,9.752233e-04,256,29.3758
avx512,cdd,axpy,2048,3.616992e-05,8192,113.2433
avx512,cdd,matvec,2048,4.713100e-02,8,177.9849
avx512,cdd,matmul,2048,2.497309e+02,1,68.7935
avx512,ctd,axpy,2048,9.187107e-05,4096,44.5842
avx512,ctd,matvec,2048,8.508873e-02,4,98.5866
avx512,ctd,matmul,2048,6.467088e+02,1,26.5651
avx512,cqd,axpy,2048,4.428541e-05,8192,92.4910
avx512,cqd,matvec,2048,1.284299e-01,2,65.3166
avx512,cqd,matmul,2048,1.251785e+03,1,13.7243
avx512,cd,axpy,128,1.190496e-07,2097152,2150.3649
avx512,cd,matvec,128,1.993317e-05,16384,1643.8931
avx512,cd,matmul,128,2.154233e-03,128,1947.0058
avx512,cd,spmv,128,5.991524e-05,4096,29.5084
avx512,cdd,axpy,128,9.194946e-07,262144,278.4138
avx512,cdd,matvec,128,5.589309e-05,4096,586.2621
avx512,cdd,matmul,128,1.088613e-02,32,385.2890
avx512,cdd,spmv,128,4.434108e-05,8192,39.8727
avx512,ctd,axpy,128,1.564880e-06,131072,163.5908
avx512,ctd,matvec,128,2.626621e-04,1024,124.7535
avx512,ctd,matmul,128,2.885962e-02,8,145.3347
avx512,ctd,spmv,128,1.210996e-04,2048,14.5995
avx512,cqd,axpy,128,4.178131e-06,65536,61.2714
avx512,cqd,matvec,128,6.314614e-04,512,51.8923
avx512,cqd,matmul,128,6.114525e-02,4,68.5957
avx512,cqd,spmv,128,1.645044e-04,2048,10.7474
avx512,cd,axpy,256,2.450563e-07,1048576,2089.3158
avx512,cd,matvec,256,9.481836e-05,4096,1382.3483
avx512,cd,matmul,256,2.577850e-02,8,1301.6440
avx512,cd,spmv,256,1.205492e-04,2048,29.5315
avx512,cdd,axpy,256,1.032402e-06,262144,495.9309
avx512,cdd,matvec,256,4.973360e-04,512,263.5482
avx512,cdd,matmul,256,7.959902e-02,4,421.5433
