backend,type,op,N,seconds,iters,mflops
avx512,ds,axpy,1024,2.594575e-07,1048576,7893.3940
avx512,ds,matvec,1024,5.146740e-04,512,4074.7191
avx512,ds,matmul,1024,3.438180e+00,1,624.5990
avx512,ts,axpy,1024,1.129230e-06,262144,1813.6245
avx512,ts,matvec,1024,1.656383e-03,128,1266.1031
avx512,ts,matmul,1024,8.888512e+00,1,241.6022
avx512,qs,axpy,1024,2.524786e-06,131072,811.1577
avx512,qs,matvec,1024,3.063586e-03,128,684.5417
avx512,qs,matmul,1024,1.528773e+01,1,140.4711
avx512,double,spmv,1024,3.980698e-06,65536,3595.3491
avx512,dd,spmv,1024,3.161572e-05,8192,452.6861
avx512,td,spmv,1024,1.642441e-04,2048,87.1386
avx512,qd,spmv,1024,2.186319e-04,1024,65.4616
avx512,float,spmv,1024,2.621801e-05,8192,545.8843
avx512,ds,spmv,1024,1.388725e-04,2048,103.0585
avx512,ts,spmv,1024,3.615371e-04,1024,39.5865
avx512,qs,spmv,1024,8.209888e-04,256,17.4326
