backend,type,op,N,seconds,iters,mflops
avx2,double,matmul,1024,3.435882e+00,1,625.0167
avx2,dd,axpy,1024,5.943034e-07,524288,3446.0513
avx2,dd,matvec,1024,9.602541e-04,256,2183.9552
avx2,dd,matmul,1024,4.116662e+00,1,521.6565
avx2,td,axpy,1024,3.256027e-06,65536,628.9873
avx2,td,matvec,1024,3.377359e-03,64,620.9443
avx2,td,matmul,1024,1.235508e+01,1,173.8138
avx2,qd,axpy,1024,7.163486e-06,32768,285.8943
avx2,qd,matvec,1024,7.521719e-03,32,278.8129
avx2,qd,matmul,1024,2.479358e+01,1,86.6145
avx2,double,spmv,1024,3.493591e-06,65536,4096.6443
avx2,dd,spmv,1024,1.391863e-05,16384,1028.2621
avx2,td,spmv,1024,7.109006e-05,4096,201.3221
avx2,qd,spmv,1024,1.213388e-04,2048,117.9508
avx2,double,axpy,2048,3.896180e-07,524288,10512.8618
avx2,double,matvec,2048,1.204992e-03,256,6961.5483
avx2,double,matmul,2048,2.863925e+01,1,599.8715
avx2,dd,axpy,2048,1.297791e-06,262144,3156.1329
avx2,dd,matvec,2048,4.783407e-03,64,1753.6890
avx2,dd,matmul,2048,7.079286e+01,1,242.6780
avx2,td,axpy,2048,6.547547e-06,32768,625.5778
avx2,td,matvec,2048,1.350512e-02,16,621.1430
avx2,td,matmul,2048,2.021442e+02,1,84.9882
avx2,qd,axpy,2048,1.445337e-05,16384,283.3941
avx2,qd,matvec,2048,3.017613e-02,8,277.9882
avx2,qd,matmul,2048,4.579524e+02,1,37.5145
avx2,double,spmv,2048,7.017210e-06,32768,4082.5342
avx2,dd,spmv,2048,2.795813e-05,8192,1024.6751
avx2,td,spmv,2048,1.416621e-04,2048,202.2277
avx2,qd,spmv,2048,2.429297e-04,1024,117.9271
avx512,double,axpy,128,1.122147e-08,33554432,22813.4032
avx512,double,matvec,128,9.988744e-07,262144,32804.9257
avx512,double,matmul,128,1.871500e-03,128,2241.1454
avx512,dd,axpy,128,4.394460e-08,8388608,5825.5173
avx512,dd,matvec,128,1.504389e-05,16384,2178.1606
avx512,dd,matmul,128,2.479343e-03,128,1691.7000
avx512,td,axpy,128,2.710619e-07,1048576,944.4336
avx512,td,matvec,128,5.797338e-05,4096,565.2250
avx512,td,matmul,128,8.534566e-03,32,491.4490
avx512,qd,axpy,128,5.859220e-07,524288,436.9183
avx512,qd,matvec,128,9.819586e-05,2048,333.7004
avx512,qd,matmul,128,1.464513e-02,16,286.3958
avx512,double,spmv,128,4.195535e-07,524288,4214.0033
avx512,dd,spmv,128,4.132493e-06,65536,427.8289
avx512,td,spmv,128,2.050042e-05,16384,86.2421
avx512,qd,spmv,128,2.731616e-05,8192,64.7236
avx512,double,axpy,256,2.328758e-08,16777216,21985.9653
avx512,double,matvec,256,4.241287e-06,65536,30903.8295
avx512,double,matmul,256,1.525374e-02,16,2199.7515
avx512,dd,axpy,256,8.666655e-08,4194304,5907.7005
avx512,dd,matvec,256,5.559542e-05,4096,2357.6044
avx512,dd,matmul,256,1.755144e-02,16,1911.7769
avx512,td,axpy,256,5.416582e-07,524288,945.2455
avx512,td,matvec,256,1.965850e-04,1024,666.7448
avx512,td,matmul,256,6.080770e-02,4,551.8122
avx512,qd,axpy,256,1.170875e-06,262144,437.2797
avx512,qd,matvec,256,3.382578e-04,1024,387.4915
avx512,qd,matmul,256,1.111801e-01,2,301.8026
avx512,double,spmv,256,8.392872e-07,262144,4241.6948
avx512,dd,spmv,256,7.643495e-06,32768,465.7555
avx512,td,spmv,256,4.098998e-05,8192,86.8505
avx512,qd,spmv,256,5.469535e-05,4096,65.0878
avx512,double,axpy,512,3.394325e-07,1048576,3016.7999
avx512,double,matvec,512,2.946178e-05,8192,17795.5313
avx512,double,matmul,512,2.015810e-01,1,1331.6506
avx512,dd,axpy,512,1.731435e-07,2097152,5914.1708
avx512,dd,matvec,512,2.167588e-04,1024,2418.7621
avx512,dd,matmul,512,2.708931e-01,1,990.9276
avx512,td,axpy,512,1.083165e-06,262144,945.3781
avx512,td,matvec,512,7.159449e-04,512,732.3021
avx512,td,matmul,512,7.250471e-01,1,370.2317
avx512,qd,axpy,512,2.342536e-06,131072,437.1330
avx512,qd,matvec,512,1.251347e-03,256,418.9788
avx512,qd,matmul,512,1.264360e+00,1,212.3094
